Body, Pos x, Pos y, Pos z, , Vel x, Vel y, Vel z
32,0.364477,0.511611,0.443776, ,-0.00575529,-0.0933048,-0.054319,
33,-0.753884,-0.26437,0.669305, ,0.0755194,0.0117044,-0.057239,
34,0.0340788,0.325916,-0.147564, ,0.0506571,-0.0516379,-0.00690973,
35,0.898623,0.842715,0.0991209, ,-0.0557661,-0.0536943,0.0273463,
36,-0.0564577,-0.250085,0.693853, ,0.0930996,-0.0465903,-0.107153,
37,-0.0877405,-0.456199,0.96578, ,0.0612126,0.0222275,-0.161594,
38,0.478398,0.134496,-0.607966, ,0.0200055,-0.0601412,0.0546239,
39,0.67878,-0.20463,0.00175301, ,-0.104368,0.0575902,-0.0475244,
40,-0.94501,0.9892,0.145136, ,0.0568322,-0.0575464,-0.0405627,
41,0.062646,-0.611771,0.685922, ,-0.00844995,0.0947859,-0.165086,
42,0.315107,-0.604215,0.684211, ,-0.119106,0.0820359,-0.105541,
43,-0.780086,0.486224,-0.371887, ,0.0582095,-0.0270057,-0.0194223,
44,-0.427747,-0.327316,-0.719436, ,0.0923704,0.0558411,0.0375926,
45,0.669132,0.415981,0.200414, ,-0.108281,-0.0170059,-0.0621769,
46,-0.494496,-0.710966,-0.996692, ,0.0562356,0.0848123,0.0728812,
47,0.612473,0.704966,-0.578848, ,-0.00317763,-0.286192,-0.00372001,
48,0.106421,-0.971397,-0.772409, ,0.00316189,0.0991131,0.0449628,
49,0.504537,0.37232,0.0869417, ,0.0966967,0.0242885,0.0555346,
0,0.000303001,3.1995e-05,-0.00024636, ,0.202012,0.0213329,-0.16425,
1,-0.997204,0.127234,-0.61326, ,0.195713,0.0419397,0.0878987,
2,0.170298,-0.0401936,-0.299563, ,0.186138,0.0402495,-0.0972042,
3,0.645638,0.492742,-0.651573, ,-0.0280254,-0.311863,0.140296,
4,0.420854,0.026865,-0.392387, ,-0.0991258,-0.136622,-0.250969,
5,-0.816892,-0.270913,-0.705236, ,0.201459,0.122284,0.0920835,
6,0.976528,-0.108398,-0.761563, ,-0.348192,0.145087,0.180616,
7,-0.981945,-0.244149,0.0632332, ,0.15465,0.0603145,-0.0618037,
8,0.203936,0.214035,-0.667156, ,0.272242,-0.197377,0.250607,
9,-0.0983209,-0.295605,-0.885525, ,0.0674932,0.100176,0.264895,
10,0.566626,0.604736,0.0398989, ,-0.007088,-0.318072,0.088869,
11,0.751776,0.453264,0.911519, ,-0.112955,-0.0591618,-0.188192,
12,0.0787779,-0.714991,-0.0757865, ,0.0471111,0.22133,0.0346432,
13,0.72423,-0.580595,0.55914, ,-0.166168,0.134934,-0.115263,
14,0.993308,0.998993,0.222821, ,-0.188803,-0.264161,-0.118346,
15,-0.467243,-0.405373,0.680104, ,0.220969,0.0434216,-0.122466,
16,-0.24777,-0.814469,0.354456, ,0.331887,0.18906,0.0295898,
17,-0.982062,0.837319,-0.44828, ,0.239647,-0.173964,-0.0361317,
18,0.175983,0.382279,0.674861, ,0.110688,-0.058495,-0.240616,
19,-0.0297944,-0.589175,0.487654, ,0.218254,0.0715809,0.121358,
20,-0.0839498,0.898004,0.488675, ,0.0857843,-0.205311,-0.133768,
21,0.198057,-0.229558,0.469889, ,-0.0255718,-0.0187924,-0.0840624,
22,0.144954,-0.277016,-0.696632, ,0.0957782,0.203546,0.17228,
23,-0.14952,0.605518,0.0341281, ,0.115408,-0.162359,-0.0554504,
24,0.502905,-0.308249,-0.661589, ,-0.12815,0.419092,0.29966,
25,-0.0161217,-0.872413,0.39954, ,0.055765,0.338788,0.0151093,
26,-0.704929,0.898925,-0.716663, ,0.0530206,-0.161118,0.123955,
27,0.385788,-0.393427,-0.146998, ,0.00265073,0.316901,-0.0747572,
28,0.932623,0.366273,-0.693299, ,-0.401781,-0.0677496,0.156133,
29,0.642381,0.163832,-0.617161, ,-0.653669,-0.177197,0.0914048,
